,USDCNY,USDBRL,USDZAR,USDRUB,EURUSD,USDJPY,USDMXN,USDCAD,pnl_period ,cumulative
2016-04-29,0,0,0,0,-7192.051203,0,0,0,"-7,192.05","-7,192.05"
2016-06-01,0,0,0,0,-21340.34611,0,0,0,"-21,340.35","-28,532.40"
2016-07-01,15656.22869,0,0,0,0,0,0,0,"15,656.23","-12,876.17"
2016-08-01,-20827.36457,0,0,0,0,0,0,0,"-20,827.36","-33,703.53"
2016-09-01,-9928.69025,0,0,0,0,0,0,0,"-9,928.69","-43,632.22"
2016-09-30,-20491.24813,0,0,0,0,0,0,0,"-20,491.25","-64,123.47"
2016-11-01,20638.01235,0,0,0,0,0,0,0,"20,638.01","-43,485.46"
2016-12-01,38398.59987,0,0,0,0,0,0,0,"38,398.60","-5,086.86"
2016-12-30,3208.147838,0,0,0,0,0,0,0,"3,208.15","-1,878.71"
2017-02-01,-20244.38701,0,0,0,0,0,0,0,"-20,244.39","-22,123.10"
2017-03-01,0,0,0,0,-21254.80666,0,0,0,"-21,254.81","-43,377.91"
2017-03-31,0,0,0,0,0,-21233.19874,0,0,"-21,233.20","-64,611.10"
2017-05-01,0,0,0,0,21140.92619,0,0,0,"21,140.93","-43,470.18"
2017-06-01,0,0,0,0,0,0,0,-21316.80691,"-21,316.81","-64,786.98"
2017-06-30,0,0,0,0,22925.99708,0,0,0,"22,926.00","-41,860.99"
2017-08-01,0,0,0,0,67522.238,0,0,0,"67,522.24","25,661.25"
2017-09-01,0,0,0,0,-9875.195786,0,0,0,"-9,875.20","15,786.05"
2017-09-29,0,0,0,0,-21779.21796,0,0,0,"-21,779.22","-5,993.16"
2017-11-01,0,0,0,0,-22481.66793,0,0,0,"-22,481.67","-28,474.83"
2017-12-01,0,0,0,0,0,-21822.29414,0,0,"-21,822.29","-50,297.13"
2018-01-01,0,0,0,0,0,0,57520.79622,0,"57,520.80","7,223.67"
2018-02-01,0,0,0,0,78326.23661,0,0,0,"78,326.24","85,549.91"
2018-03-01,0,0,0,0,-23608.08467,0,0,0,"-23,608.08","61,941.82"
2018-03-30,0,0,0,0,-12817.79251,0,0,0,"-12,817.79","49,124.03"
2018-05-01,0,0,0,0,0,0,0,-22889.22467,"-22,889.22","26,234.81"
2018-06-01,0,71563.78603,0,0,0,0,0,0,"71,563.79","97,798.59"
2018-06-29,0,12669.90693,0,0,0,0,0,0,"12,669.91","110,468.50"
2018-08-01,31357.01065,0,0,0,0,0,0,0,"31,357.01","141,825.51"
2018-08-31,-18439.83268,0,0,0,0,0,0,0,"-18,439.83","123,385.68"
2018-10-01,-6062.657706,0,0,0,0,0,0,0,"-6,062.66","117,323.02"
2018-11-01,-719.811304,0,0,0,0,0,0,0,-719.81,"116,603.21"
2018-11-30,0,0,0,0,0,697.4125305,0,0,697.41,"117,300.62"
2019-01-01,-24555.33075,0,0,0,0,0,0,0,"-24,555.33","92,745.29"
2019-02-01,0,0,0,0,0,0,0,-23549.90818,"-23,549.91","69,195.38"
2019-03-01,0,0,0,0,-24416.14679,0,0,0,"-24,416.15","44,779.23"
2019-04-01,0,0,0,0,-24583.53815,0,0,0,"-24,583.54","20,195.70"
2019-05-01,0,0,0,0,0,-17765.41225,0,0,"-17,765.41","2,430.28"
2019-05-31,0,0,0,0,0,-24435.24337,0,0,"-24,435.24","-22,004.96"
2019-07-01,-23107.5987,0,0,0,0,0,0,0,"-23,107.60","-45,112.56"
2019-08-01,9730.080132,0,0,0,0,0,0,0,"9,730.08","-35,382.48"
2019-08-30,152454.3291,0,0,0,0,0,0,0,"152,454.33","117,071.85"
2019-10-01,-23091.07319,0,0,0,0,0,0,0,"-23,091.07","93,980.78"
2019-11-01,-22894.2766,0,0,0,0,0,0,0,"-22,894.28","71,086.50"
2019-11-29,-21920.70275,0,0,0,0,0,0,0,"-21,920.70","49,165.80"
2020-01-01,0,0,0,0,0,-22165.69111,0,0,"-22,165.69","27,000.11"
2020-01-31,0,0,0,0,-23125.02933,0,0,0,"-23,125.03","3,875.08"
2020-02-28,0,62132.48278,0,0,0,0,0,0,"62,132.48","66,007.56"
2020-04-01,0,170453.185,0,0,0,0,0,0,"170,453.19","236,460.75"
2020-05-01,0,11760.2741,0,0,0,0,0,0,"11,760.27","248,221.02"
2020-06-01,0,0,0,0,12745.59236,0,0,0,"12,745.59","260,966.61"
2020-07-01,-20271.39136,0,0,0,0,0,0,0,"-20,271.39","240,695.22"
2020-07-31,0,0,0,0,83585.67551,0,0,0,"83,585.68","324,280.90"
2020-09-01,0,0,0,0,6916.198506,0,0,0,"6,916.20","331,197.10"
2020-10-01,0,0,0,0,-20512.32006,0,0,0,"-20,512.32","310,684.77"
2020-10-30,0,0,0,0,-20197.47442,0,0,0,"-20,197.47","290,487.30"
2020-12-01,0,0,0,-19704.49205,0,0,0,0,"-19,704.49","270,782.81"
2021-01-01,0,0,0,0,8497.474313,0,0,0,"8,497.47","279,280.28"
2021-02-01,0,0,0,0,-20320.4514,0,0,0,"-20,320.45","258,959.83"
2021-03-01,0,0,0,0,-18530.29178,0,0,0,"-18,530.29","240,429.54"
2021-04-01,0,0,0,0,0,65396.47115,0,0,"65,396.47","305,826.01"
2021-04-30,0,0,0,0,0,-19606.22232,0,0,"-19,606.22","286,219.79"
2021-06-01,0,0,0,0,0,-5685.594963,0,0,"-5,685.59","280,534.19"